IlmnID,arms,ccsk,erms,ews,mrt,nbl,normal,os,wbc,wt
cg2608,0.04857644141666667,0.03408845758333333,0.04656122158333334,0.044190434375000004,0.07268587175,0.03369453065864641,0.0,0.018836522286619972,0.04986390591769107,0.04092448591666666
cg2609,0.03212034666666667,0.022279956666666663,0.028208943333333333,0.03438844466666667,0.03397596433333333,0.02020862681331045,0.0,0.01427781289105535,0.04102205542138484,0.022238216666666668
cg2610,0.08726582079999998,0.0368512754,0.08391141400000002,0.06196446485889655,0.13080049510000002,0.040282089581341704,0.007380978320078441,0.020430638322748544,0.0660720172878032,0.0348636404
cg2611,0.1038241625,0.08493133,0.1038644425,0.10356789396324773,0.058723930625000004,0.07845771740211753,0.0,0.06778181320296828,0.10495887080846844,0.08926269
cg2612,0.32141536666666665,0.4019065333333333,0.43672751666666665,0.5911894648325275,0.486489287,0.1172482115027631,0.17424242424242425,0.08993229038308007,0.062083538959232035,0.12452269
cg2613,0.4997477000000001,0.7670392,0.44064364999999994,0.7084904585784917,0.6423165943333333,0.2908015753910433,0.3536931818181819,0.6383002199244581,0.5310676123102309,0.5735740333333333
cg2614,0.6636663333333334,0.050308443333333334,0.06284759541666667,0.042005959499999995,0.07094751725000001,0.028998900715255245,0.0,0.020053529652233504,0.0501569697561349,0.03322006833333333
cg2615,0.815464975,0.69409635,0.7001888625,0.58570506,0.4690085515,0.6511917646169174,0.21739130434782608,0.5703497674969132,0.5432482505039328,0.38638020825
cg2616,0.4639595666666667,0.4751120833333333,0.51805335,0.36087075,0.4363988390833333,0.3369911846302569,0.6235253296321999,0.6626356005222012,0.4960802590547305,0.51213525
cg2617,0.7257710666666667,0.8506385333333334,0.8223924833333334,0.8700076302772799,0.7968364316666667,0.8488429975406827,0.957427536231884,0.8598424270723046,0.8809502111667503,0.8994263666666665
cg2618,0.20254486666666666,0.23230630000000002,0.3290259833333333,0.17451074160243135,0.47115118125,0.15605847377023122,0.02974963181148748,0.2750765511558018,0.19199190053547766,0.12326980333333333
cg2619,0.6047967333333333,0.8386640666666666,0.7384889083333334,0.8527944801975043,0.7903581779166666,0.8440528187254948,0.9545454545454546,0.8867446150606193,0.8753993363520297,0.8359134333333335
cg2620,0.07868069700000001,0.04009605666666666,0.0786802275,0.074329066,0.10604286266666667,0.05764795149580465,0.008,0.03454617789062467,0.08816227896707712,0.05890013
cg2621,0.051350467999999996,0.6542251,0.05163413,0.05007461216666667,0.13391261766666668,0.027273246113856654,0.0,0.0283958366992048,0.0573839236538496,0.044370280000000005
cg2622,0.03796091333333334,0.017773086666666663,0.035180295,0.0332527504621879,0.07714815883333333,0.021686223662663498,0.0,0.016402261282124735,0.04053087917034517,0.02069056666666667
cg2623,0.043028485000000005,0.02099699,0.04071942966666667,0.03958598151048894,0.055979942416666664,0.040412060934992694,0.0,0.016034943581251508,0.04411751978898328,0.02967099
cg2624,0.02545142933333333,0.014998082333333334,0.0212610145,0.030501540166666667,0.02675904283333333,0.022046799895561485,0.0,0.017351137625840403,0.04172964061639197,0.01912140733333333
cg2625,0.06264129166666668,0.04434641333333333,0.06056760333333333,0.06529520666666666,0.06767836766666667,0.05144682026890396,0.0,0.030113462806209867,0.06875657358834776,0.05998753833333334
cg2626,0.059435645,0.04016607333333333,0.053310724999999996,0.06270424083333333,0.06459903358333333,0.06095627804192766,0.0,0.020620475314863572,0.07443826996345068,0.05250229333333334
